abbey	tu viện
platinum	bạch kim
playlist	danh sách phát
plaza	quảng trường
pleasant	hài lòng
please	xin vui lòng
pleasure	vui lòng
plek	cầu xin
plesant	khó chịu
plowman	thợ cày
plugin	cắm vào
plum	mận
plus	thêm
pm	buổi chiều
pocky	có gai
pod	vỏ quả
poem	bài thơ
pohled	phập phồng
point	điểm
points	điểm
police	cảnh sát
polite	lịch sự
pomelos	bưởi
pool	hồ bơi
pool	bể bơi
poolbar	bể bơi
poolside	bên hồ bơi
pooltable	hồ bơi
poond	trầm ngâm
poor	tệ
pop	bật ra
popped	xuất hiện
popping	bốp
populars	bình dân
population	dân số
porch	hiên nhà
pork	thịt heo
port	hải cảng
portly	đẹp đẽ
posh	sang trọng
poshtel	sang trọng
positifs	dương tính
position	chức vụ
positives	tích cực
post	bài đăng
postoffice	bưu điện
powerpoints	điểm mạnh
ppl	mọi người
prace	lời chúc tụng
practice	thực hành
prder	đặt hàng
prebooked	đặt trước
precious	quí
prefabricados	nhà tiền chế
premier	đứng đầu
premium	cao cấp
prepare	chuẩn bị
prepping	sơ chế
present	hiện tại
press	nhấn
pretty	đẹp
previous	trước
price	giá bán
pricerange	phạm vi giá
pricier	đắt hơn
pricy	quý giá
prime	nguyên tố
primer	lót
prince	hoàng tử
princess	công chúa
prior	trước
prior	ưu tiên
prises	mồi
private	riêng tư
privet	mồi
pro	chuyên nghiệp
proactively	chủ động
probably	có lẽ
problem	vấn đề
profasional	chuyên nghiệp
profesionnal	chuyên nghiệp
professional	chuyên nghiệp
professionalism	sự chuyên nghiệp
professionnalisme	nghề nghiệp
proffesional	chuyên nghiệp
progressive	cấp tiến
promenades	lối đi dạo
promissed	đã hứa
promo	quảng cáo
propper	thợ săn
prorate	chia theo tỷ lệ
pros	ưu điểm
protein	chất đạm
prove	chứng minh
province	tỉnh
pruce	cắt tỉa
ptoperty	bất động sản
pub	quán rượu
pubbar	quán rượu
pubes	quán rượu
public	công cộng
pudding	bánh pudding
puking	nôn mửa
pullman	người kéo
pullup	kéo lên
pumpkin	quả bí ngô
punctuality	đúng giờ
puolet	màu tím
puplic	công cộng
puppies	bố cục
purpose	mục đích
pusan	xô đẩy
pushy	tự đề cao
put	đặt
quac	quắc
quadruple	bốn người
quaint	cổ kính
qualities	phẩm chất
quality	chất lượng
quan	quân
quanh	quánh
quanhtuy	quánh
quarte	cãi nhau
quarter	phần tư
quartier	người khai hoang
quat	quất
quaters	người xếp hạng
que	xếp hàng
queen	nữ hoàng
queensize	cỡ lớn
quen	dập tắt
quest	nhiệm vụ
question	câu hỏi
quieres	run rẩy
quiet	yên tĩnh
quirky	kỳ quặc
quit	thoát
quite	khá
quitely	chuyên tâm
quiteness	sự yên tĩnh
quoc	quốc
quots	dấu ngoặc kép
quyen	quyên
quynh	quỳnh
raccomend	gợi ý
race	cuộc đua
radio	đài
rag	giẻ
rain	mưa
rainbow	cầu vồng
raining	mưa
raintime	thời gian raintime
raked	cào
ran	đã chạy
rang	reo lên
ranh	ranh giới
rank	cấp
rarely	ít khi
raspberry	dâu rừng
rat	con chuột
ratats	chuột cống
rate	tỷ lệ
rates	giá
rati	tỷ lệ
ratng	xếp hạng
rats	chuột cống
ratt	tiếng lục lạc
rattled	lạch cạch
raving	say sưa
ray	cá đuối
re	lại
reaction	phản ứng
read	đọc
reading	đọc hiểu
realized	nhận ra
reallly	có thật không
really	có thật không
reason	lý do
reasonable	hợp lý
reastaurants	nhà hàng
reastaurnt	nhà hàng
reataurant	nhà hàng
recastion	tuyển dụng
reccomend	đề nghị
reccomendation	sự giới thiệu
reccommend	đề nghị
reccommended	đề nghị
receipt	biên lai
received	nhận
recepcion	sự tiếp thu
receprptionist	lễ tân
recept	chấp nhận
receptie	người nhận
reception	tiếp nhận
reception	lễ tân
receptionist	lễ tân
receptionists	lễ tân
recepton	thụ thể
recetionist	lễ tân
recidence	nơi cư trú
recieptionist	lễ tân
recipient	người nhận
recliners	ghế tựa
recomend	gợi ý
recomendation	sự giới thiệu
recomended	đề nghị
recoment	giới thiệu
recomentded	đề nghị
recommand	lời nhắc nhở
recommanded	đề nghị
recommdable	đáng tin cậy
recommed	gợi ý
recommend	giới thiệu
recommendation	sự giới thiệu
recommended	đề nghị
recommendso	giới thiệu
recommened	đề nghị
recommented	đề nghị
recommnend	gợi ý
reconfirm	xác nhận lại
records	hồ sơ
red	đỏ
redcommend	tuyên dương
redecoration	trang trí lại
redhouse	ngôi nhà màu đỏ
redicilous	nực cười
redoing	làm lại
redy	đỏ tía
reed	cây lau
ref	tham khảo
refill	đổ đầy
refresh	làm tươi
refrigerator	tủ lạnh
refshuffled	nhồi lại
regal	quốc vương
regard	sự quan tâm
regards	trân trọng
regency	nhiếp chính
regional	khu vực
reivew	ôn tập
relation	quan hệ
relationship	mối quan hệ
relax	thư giãn
relaxation	thư giãn
relaxed	thư thái
relaxing	thư giãn
remants	tàn dư
rememberable	có thể nhớ được
remode	làm lại
remote	xa xôi
renaissance	thời phục hưng
rendezuvous	điểm hẹn
rendezvous	điểm hẹn
rent	thuê
reort	sắp xếp lại
reosrt	phương sách
rep	đại diện
repair	sửa
repeated	lặp đi lặp lại
replace	thay thế
replaced	thay thế
reply	đáp lại
reprieve	ân hận
request	yêu cầu
rersort	phương sách
resault	cướp lại
reseption	tiếp nhận
reservation	dự phòng
reset	cài lại
residence	nơi cư trú
residences	cư xá
residences	khu dân cư
residencia	cư xá
resident	cư dân
resoer	phương sách
resoet	phương sách
resor	người bán lại
resort	phương sách
resorted	nghỉ dưỡng
resorts	khu nghỉ dưỡng
resot	tiếng vang
resp	đáp lại
resport	hô hấp
resraurants	nhà hàng
resraurent	nhà hàng
resrost	nối lại
resrot	phương sách
resrt	phương sách
resrurant	nhà hàng
rest	nghỉ ngơi
restaraunt	nhà hàng
restaruants	nhà hàng
restarunt	nhà hàng
restaunt	nhà hàng
restaurang	nhà hàng
restaurant	nhà hàng
restaurants	các nhà hàng
restaurants	nhà hàng
resteraunt	nhà hàng
resteraunts	nhà hàng
restoran	phục hồi
restos	nghỉ ngơi
restraunt	nhà hàng
restroom	phòng vệ sinh
restrurant	nhà hàng
restuarants	nhà hàng
resturant	nhà hàng
restyling	nghỉ ngơi
retreat	rút lui
retro	cổ điển
rette	nói lại
returning	trở về
review	nhận xét
reviews	đánh giá
revirew	ôn tập
revisited	đã duyệt lại
rew	phần thưởng
rice	cơm
ricefield	ruộng lúa
riceflower	hoa gạo
ricewine	rượu gạo
rickety	ọp ẹp
riddled	câu đố
rides	cưỡi ngựa
ridiculously	nực cười
righ	đúng
rightly	đúng
rim	vành
rip	yên nghỉ
rise	tăng lên
risemount	tăng lên
risemount	số tiền rủi ro
riser	ống đứng
rising	trỗi dậy
river	con sông
riverfront	bờ sông
riverlife	cuộc sống trên sông
riverside	ven sông
riversive	sông
riverwalk	đường ven sông
road	đường
robes	áo choàng
robot	người máy
rock	đá
rockclimbing	leo núi
rockhard	đá cứng
rocks	đá
roftop	sân thượng
rogue	giả mạo
rolls	bánh cuốn
romance	lãng mạn
romance	tình cảm
romantic	lãng mạn
romms	lãng mạn
roof	mái nhà
roofbar	thanh mái
rooftop	sân thượng
room	phòng
roomgreat	phòng lớn
roomie	phòng trọ
rooming	phòng trọ
rooms	phòng
roomsbeachpool	phòng tắm
roomservice	dịch vụ phòng
rooptop	sân thượng
rooster	gà trống
root	nguồn gốc
ropey	dây thừng
rose	hoa hồng
rosemarry	cây mê điệt
rosemary	cây mê điệt
roses	hoa hồng
rot	thúi
rottening	thối rữa
rough	thô
roulette	cò quay
roundtrip	khứ hồi
router	bộ định tuyến
royal	hoàng gia
royality	hoàng gia
rrats	chúc mừng
ruby	hồng ngọc
rude	thô lỗ
rudest	thô lỗ
run	chạy
rural	nông thôn
russian	tiếng nga
russiana	tiếng nga
rustic	mộc mạc
sac	túi
sad	buồn
sadly	thật đáng buồn
safary	an toàn
safe	an toàn
safebox	két sắt
safety	sự an toàn
sage	hiền nhân
said	nói
saigon	sài gòn
sailing	thuyền buồm
sailinh	thuyền buồm
sakura	hoa anh đào
salad	rau xà lách
salamanders	kỳ nhông
sale	giảm giá
sales	bán hàng
salon	thẩm mỹ viện
salsa	điệu salsa
salt	muối
salvation	sự cứu rỗi
sanatized	làm vệ sinh
sanctuary	thánh địa
sand	cát
sands	cát
sandwich	bánh mì sandwich
sandwitch	bánh mì kẹp
sanitair	nhà vệ sinh
sanitiser	chất tẩy rửa
sank	chìm
santa	ông già noel
saparate	tách rời
sat	đã ngồi
satifying	hài lòng
satisfied	hài lòng
satissfied	hài lòng
sattelite	vệ tinh
satyed	đã ở lại
sauna	tắm hơi
saves	tiết kiệm
say	nói
scam	lừa đảo
scaming	lừa đảo
scammed	bị lừa đảo
scammer	kẻ lừa đảo
scamming	lừa đảo
scams	lừa đảo
scandinavi	bán đảo scandinavia
scandinavia	bán đảo scandinavia
scape	vật tế thần
scarlet	đỏ tươi
scarrings	vết sẹo
scene	bối cảnh
scenery	phong cảnh
scenic	phong cảnh
sceond	thứ hai
scootering	loang lổ
scramble	tranh giành
screaming	la hét
screeches	tiếng rít
screeching	rít lên
screen	màn
scruffy	nhăn nhó
sea	biển
seacond	tàu biển
seafront	bờ biển
seagull	hải âu
seahors	cá ngựa
seahorse	cá ngựa
seahose	cá ngựa
sealink	con dấu
seasde	bờ biển
seashell	vỏ sò
seashells	vỏ sò
seashore	bờ biển
seaside	bờ biển
seasons	các mùa
seastar	sao biển
seat	ghế
seaview	hướng biển
seaweed	rong biển
second	thứ hai
secure	đảm bảo
security	bảo vệ
seedy	có nhiều hạt
seeview	ngăm cảnh
select	lựa chọn
selected	đã chọn
self	bản thân
selfie	chụp ảnh tự sướng
selfies	ảnh tự chụp
semaines	học kỳ
seminar	hội thảo
sencerity	sự chân thành
sended	đã gửi
sense	giác quan
senses	giác quan
sent	gởi
sentir	lính gác
sep	tháng chín
sepia	màu nâu đỏ
sera	huyết thanh
serenade	dạ khúc
serenaded	theo dõi
serene	thanh thản
serenity	thanh thản
serioulsly	nghiêm túc
serious	nghiêm trọng
served	phục vụ
server	người phục vụ
servic	dịch vụ
service	dịch vụ
servicea	dịch vụ
serviced	phục vụ
serviceman	người phục vụ
services	dịch vụ
serviec	dịch vụ
servives	dịch vụ
sesame	mè
set	bộ
setup	thiết lập
setvice	dịch vụ
several	một số
sevices	thiết bị
sex	tình dục
sgranate	quả lựu
shabby	tồi tàn
shack	lán
shade	bóng râm
shampoo	dầu gội đầu
shape	hình dạng
sharing	chia sẻ
shark	cá mập
she	bà ấy
shearing	cắt xén
sheet	tấm
sheets	tờ giấy
sheets	trang tính
shell	vỏ
shell	vỏ sò
shelter	nơi trú ẩn
shenanigans	tai quái
shhhhh	suỵt
shining	sáng
ship	giao hàng
shipper	người giao hàng
shirt	áo sơ mi
shit	tệ
shittier	dở hơi
shock	sốc
shop	cửa hàng
shop	cửa tiệm
shopaholics	người nghiện mua sắm
shopee	ứng dụng
shopping	mua sắm
shoppingtour	đi du lịch mua sắm
shops	cửa hàng
short	ngắn
shorting	rút ngắn
shot	bắn
shoutout	la lên
show	chỉ
shower	vòi sen
showing	hiển thị
shrims	tôm
shuttle	đưa đón
siagon	sài gòn
side	bên
sideroad	lề đường
siesta	giấc ngủ trưa
siesta	ngủ trưa
sigarette	thuốc lá
sightseeings	điểm tham quan
signature	chữ ký
signposted	biển chỉ dẫn
silence	im lặng
silent	im lặng
silk	lụa
silkpath	con đường tơ lụa
silver	bạc
simcard	thẻ sim
simoly	đơn giản
simple	đơn giản
simplicity	sự đơn giản
simply	đơn giản
sin	tội
since	từ
singer	ca sĩ
singing	ca hát
single	độc thân
sinserely	trân trọng
sister	em gái
sisters	chị em gái
site	địa điểm
sitetour	tour du lịch trang web
sitting	ngồi
six	sáu
size	kích cỡ
size	kích thước
sized	kích thước
skate	giày trượt băng
skewers	xiên que
skilled	có tay nghề cao
sky	bầu trời
skylight	giếng trời
skyline	đường chân trời
skylit	bầu trời
skylounge	phòng chờ bay
skype	ứng dụng trò chuyện
skyping	bay lên
slags	đồ ăn mòn
sleep	ngủ
slice	lát
sligthly	nhẹ nhàng
sling	treo lên
slings	cáp treo
slippery	trơn
slippy	trơn trượt
smack	đập
smacked	đánh lén
small	nhỏ
smart	thông minh
smarttv	tv thông minh
smartwach	đồng hồ thông minh
smashburger	bánh mì kẹp thịt
smel	luyện kim
smell	mùi
smelling	ngửi
smelly	hôi
smelt	thơm
smile	nụ cười
smiles	nụ cười
smiling	mỉm cười
smith	thợ rèn
smmel	cười khẩy
smoke	khói
smoking	hút thuốc
smoothie	sinh tố
smoothies	sinh tố
smothie	sinh tố
smothies	bánh kẹo
smudgy	nhòe nhoẹt
snail	ốc sên
snapper	cá hồng
sniff	bị nghẹt mũi
sniper	kẻ bắn tỉa
snorkel	ống thở
snorkeling	lặn với ống thở
snorkelling	lặn với ống thở
snotty	lém lỉnh
snow	tuyết
snowy	có tuyết rơi
snuck	lẻn
snug	ấm áp
soakers	người làm bánh
soap	xà bông
soccer	bóng đá
social	xã hội
socola	sô cô la
sofa	ghế sô pha
soft	mềm mại
sohotel	khách sạn
solarsystem	hệ mặt trời
soldier	lính
soleil	đế giày
soleil	đất
solo	đấu
some	một số
somerset	bộ quần áo
something	cái gì đó
something	ngươi
somethings	một số điều
somewhen	lúc nào đó
somtime	thỉnh thoảng
song	bài hát
sont	không
soon	sớm
soonest	sớm nhất
sorry	lấy làm tiếc
soso	tam tạm
soul	linh hồn
sound	âm thanh
soup	súp
south	miền nam
souvenier	vật lưu niệm
souvenir	quà lưu niệm
sower	người gieo giống
space	không gian
spaceous	rộng rãi
spaces	dấu cách
spacieuse	khoảng trống
spacious	rộng rãi
spaciuos	rộng rãi
spaghetti	mì ống ý
span	nhịp
sparklingly	lấp lánh
speacial	đặc biệt
special	đặc biệt
specially	đặc biệt
specials	đặc biệt
spent	bỏ ra
spesk	nói
spice	gia vị
spicy	vị cay
spider	con nhện
splendid	lộng lẫy
splurge	bắn tung toé
spoiler	làm hư hỏng
spoons	thìa
sport	thể thao
sports	các môn thể thao
spot	nơi
spotless	không tì vết
spotlessley	không tì vết
spread	lây lan
spring	mùa xuân
springrolls	chả giò
springs	lò xo
spy	gián điệp
squalid	có vảy
square	quảng trường
squeaky	kêu cót két
squid	mực ống
squished	nhăn nheo
sraff	con quỷ
staben	đâm vào
stacious	ngoan cố
staff	nhân viên
staffs	nhân viên
stairwell	cầu thang
stanards	tiêu chuẩn
standar	độc lập
standard	tiêu chuẩn
stank	hôi thối
stank	ngân hàng
staps	đinh ghim
star	ngôi sao
starcity	sự khan hiếm
starfruit	trái khế
stark	ngay đơ
starlight	ánh sao
stars	các ngôi sao
start	khởi đầu
stat	chỉ số
station	ga tàu
stationall	trạm
statt	trạng thái
stay	ở lại
stayed	đã ở lại
stayed	ở lại
stayin	ở lại
staying	ở lại
steak	miếng bò hầm
steal	lấy trộm
steam	hơi nước
steambath	tắm hơi
stel	tấm bia
stellar	thuộc về sao
stick	gậy
stile	cứng nhắc
sting	châm chích
stinks	bốc mùi
stinks	liên kết
stints	tiền lương
stoipped	bị đánh cắp
stolen	ăn cắp
stop	dừng lại
stopover	dừng chân
store	cửa hàng
stors	cửa hàng
story	câu chuyện
straff	lải nhải
straight	thẳng
strange	kỳ lạ
stranger	người lạ
stranger	người cướp
strawhat	mũ rơm
strees	nhấn mạnh
street	đường phố
streets	đường phố
stress	nhấn mạnh
stressful	căng thẳng
strike	đình công
strip	dải
strong	mạnh
strongly	mạnh mẽ
stronly	mạnh mẽ
stuff	đồ đạc
stuffs	chất liệu
stumbled	vấp ngã
stunning	kinh ngạc
stupid	ngốc nghếch
style	phong cách
styles	phong cách
stylist	nhà tạo mẫu
suburban	ngoại ô
successful	thành công
successfully	thành công
sucessfull	thành công
such	như là
sue	kiện
sufing	lướt ván
suggest	đề xuất
suit	bộ đồ
suitable	thích hợp
suite	thượng hạng
suiting	kiện cáo
sum	tổng
summer	mùa hè
sun	mặt trời
sunbed	nằm phơi nắng
sunbeds	giường tắm nắng
sunchair	ghế tắm nắng
sunday	chủ nhật
sunflower	hoa hướng dương
sunlake	bông nắng
sunland	vùng đất mặt trời
sunlight	ánh nắng mặt trời
sunline	dải nắng
sunloungers	ghế tắm nắng
sunny	nắng
sunrise	bình minh
sunsea	hoàng hôn
sunset	hoàng hôn
sunshine	ánh sáng mặt trời
sunway	đường đi nắng
suong	sương
super	siêu
superb	tuyệt vời
supercheap	siêu rẻ
superfresh	siêu tươi
superior	cấp trên
supernice	tuyệt đẹp
superseeds	hạt siêu
supervior	người giám sát
supervisor	người giám sát
supper	bữa tối
supperior	cấp trên
support	ủng hộ
supposed	được cho là
supprise	cung cấp
suprise	ngạc nhiên
suraunded	ngập tràn
sure	chắc chắn rồi
surely	chắc chắn
surfingwinds	lướt sóng
surfshop	cửa hàng lướt sóng
surise	bình minh
surly	đột ngột
surperior	cấp trên
surprise	sự ngạc nhiên
surrounded	được bao quanh
survice	phụ tá
suspendre	dây treo
suttle	kinh sư
swan	thiên nga
swarm	họp lại
sweat	mồ hôi
sweet	ngọt
sweethouse	căn nhà dễ thương
swim	bơi
swiming	bơi lội
swimingpool	hồ bơi
swimming	bơi lội
swimsuits	đồ bơi
swindled	lừa dối
swipe	vuốt
swiss	thụy sĩ
switch	công tắc điện
switches	chuyển đổi
swooping	sà vào
sympatyczni	giao cảm
syrup	xi-rô
tab	chuyển hướng
tables	những cái bàn
tacky	dính chặt
tacos	bánh tét
tailor	thợ may
tailormade	may rủi
taiwan	đài loan
take	lấy
takeaway	lấy đi
takecare	bảo trọng
takes	nhận
talk	nói chuyện
talkies	người nói chuyện
tamarind	quả me
tan	rám nắng
tanh	tánh
tanning	thuộc da
tap	gõ nhẹ
tap	nhấn vào
tarik	thuế quan
tasteless	tệ
tasty	ngon
tatashow	chiếu tatashow
tatsy	ướt át
tatto	hình xăm
tattoo	xăm hình
tatty	rách nát
taxi	xe tắc xi
taximeter	máy đo thuế
tea	trà
teabreak	tiệc trà
team	đội
teambuiding	xây dựng nhóm
teambuiding	xây dựng đội ngũ
teansfer	chuyển khoản
teatching	giảng bài
technology	công nghệ
teen	tuổi teen
teeup	thiếu niên
teiple	gấp ba
tele	điện báo
tell	nói
telling	nói
telly	truyền hình
temple	ngôi đền
templing	cám dỗ
temptation	sự cám dỗ
ten	mười
tennis	quần vợt
tequila	rượu tequila
teracotta	đất nung
terible	khó khăn
termina	chấm dứt
terms	điều kiện
terra	ruộng bậc thang
terrace	sân thượng
terraces	sân thượng
terracotta	đất nung
terrible	khủng khiếp
terrific	khủng khiếp
test	kiểm tra
tet	ngày tết
tgeir	của chúng
tguong	thường
th	thứ tự
thai	thái
than	hơn
thang	thắng
thank	cảm tạ
thank you	cảm ơn
thanks	cảm ơn
thankyou	cảm ơn bạn
that	cái đó
thats	đó là
the	các
theif	kẻ trộm
their	của chúng
theives	kẻ trộm
them	chúng
them	họ
theme	chủ đề
thenhin	sau đó
therapist	nhà trị liệu
therapit	nhà trị liệu
there	ở đó
there	đó
theres	ở đó
thers	của họ
these	cái này
thick	dày
thief	tên trộm
thiem	thiêm
thien	thiên
thieu	thiệu
thin	gầy
thing	điều
think	suy nghĩ
this	điều này
thnks	cảm ơn
thoai	thoại
thom	thơm
thon	thon gọn
thongs	dép lê
those	những, cái đó
thot	thốt nốt
thought	nghĩ
thoughtful	chu đáo
thougt	nghĩ
threatened	bị đe dọa
three	số ba
threeday	ba ngày
threeway	ba cách
threw	ném
thro	xuyên qua
through	xuyên qua
thrue	xuyên qua
thua	thừa
thuan	thuận
thubg	côn đồ
thuc	thục
thumb	ngón tay cái
thung	thung lũng
thuong	thường
thuy	thủy
thx	cám ơn
thy	của mày
ticket	vé
ticks	bọ ve
ticks	tích tắc
tidied	ngăn nắp
tidier	ngăn nắp hơn
tidy	ngăn nắp
tie	cà vạt
tien	tiến
tiep	tiệp
tiet	tiết
tiger	con hổ
tigon	hổ sư
tilasin	cá rô phi
time	thời gian
times	lần
timesquare	quảng trường thời đại
timh	thời gian
tin	thiếc
tinfoil	giấy thiếc
tiny	nhỏ bé
tip	tiền boa
tips	lời khuyên
tirant	bậc thang
title	tiêu đề
tittle	nói nhỏ
tjrough	xuyên qua
tkanks	cảm ơn
to	đến
toan	toàn
toast	bánh mì nướng
toaster	máy nướng bánh mì
toasters	lò nướng bánh mì
toasty	ăn ngon
toboggan	xe trượt băng
todo	làm
together	cùng với nhau
toielt	phòng vệ sinh
toilet	phòng vệ sinh
toiletories	đồ vệ sinh cá nhân
toiletteries	đồ dùng vệ sinh
toilletries	đồ vệ sinh cá nhân
toilte	phòng vệ sinh
toki	trượt tuyết
told	kể lại
tolet	hãy để
toll	thu phí
tomatoe	cà chua
tomorrow	ngày mai
ton	tấn
tone	tấn
tonic	thuốc bổ
took	lấy
tooooo	quá
toot	thổi còi
top	hàng đầu
totally	tổng cộng
totsl	toàn bộ
tou	bạn
touch	chạm
tour	chuyến du lịch
tourguide	hướng dẫn viên du lịch
touring	du lịch
tourist	du lịch
tourists	khách du lịch
touristy	khách du lịch
tours	các chuyến du lịch
tours	chuyến tham quan
tout	chào hàng
toute	chào hàng
towards	hướng tới
towells	khăn tắm
towels	khăn tắm
tower	tòa tháp
towers	tháp
town	thị trấn
townhouse	nhà phố
toys	đồ chơi
tra	trà
track	theo dõi
trademills	máy chạy bộ
tradeoff	sự đánh đổi
tragedia	bi kịch
trails	đường mòn
train	xe lửa
trainee	thực tập sinh
training	đào tạo
traintickets	ve xe lửa
tram	xe điện
tran	trần
traning	huấn luyện
tranquil	yên tĩnh
tranquility	yên bình
transit	quá cảnh
translate	phiên dịch
translated	đã dịch
translator	người phiên dịch
transport	vận chuyển
transprt	vận chuyển
trap	bẩy
trasfering	chuyển giao
trash	rác
travel	du lịch
travelblog	blog du lịch
travelbox	hộp du lịch
traveled	đi du lịch
traveler	lữ khách
travelers	du khách
traveling	đi du lịch
travellance	du lịch
traveller	lữ khách
traveller	khách du lịch
travellers	du khách
travellimg	đi du lịch
travels	du lịch
treatment	sự đối xử
tree	cây
treeated	trồng cây
treehouse	nhà trên cây
trees	cây
trek	đi bộ
trekking	đi bộ đường dài
trekking	leo núi
treks	chuyến đi
trend	khuynh hướng
trendy	hợp thời trang
tri	tri kỉ
tribees	bộ lạc
trick	lừa
tricks	thủ thuật
tried	đã thử
triet	triết
trink	đồ vặt
trip	chuyến đi
triple	gấp ba
tripple	vấp ngã
trips	chuyến đi
trom	trôm
trong	trọng
tropic	chí tuyến
tropical	nhiệt đới
trouble	rắc rối
truc	trúc
truely	thực sự
truly	thực sự
trust	lòng tin
trusting	tin tưởng
try	thử
tshirt	áo thun
tuan	anh tuấn
tub	bồn tắm
tube	ống
tue	thứ ba
tuesday	thứ ba
tuibg	kéo mạnh
tukish	thổ nhĩ kỳ
tuna	cá ngừ
tung	tùng
tunnels	địa đạo
tuong	tường
turndown	giảm xuống
tusp	ngà voi
tuyen	tuyền
tuyet	tuyết
twice	hai lần
twin	sinh đôi
twins	sinh đôi
twist	xoắn
type	kiểu
typhoon	bão nhiệt đới
ubran	thành thị
ueen	thiếu niên
ultimate	tối thượng
ultra	cực kỳ
um	ừm
umkempt	nhếch nhác
unacceptable	không thể chấp nhận được
unassuming	khiêm tốn
unavailable	không có sẵn
unawnsered	không được trả lời
unbelievable	không thể tin được
unbelievably	không tin
unbooked	chưa đặt trước
uncel	bỏ chọn
uncomfortable	khó chịu
under	dưới
underdtand	hiểu biết
understaffed	thiếu nhân sự
understand	hiểu biết
understatement	sự nói nhỏ
underwhelming	áp đảo
unenthusiastic	không nhiệt tình
unexpected	bất ngờ
unfogetble	không thể lay chuyển
unforgottable	không thể nào quên
unfortuanatly	không may
unfriedly	không thân thiện
unfriendly	không thân thiện
unintrested	không quan tâm
union	liên hiệp
unit	đơn vị
unity	thống nhất
university	trường đại học
unkindly	không ngoan
uno	không
unoccupied	không có người ở
unpack	giải nén
unplanned	không có kế hoạch
unpleasant	khó chịu
unplesaent	không tiết kiệm
unprofessional	không chuyên nghiệp
unprovoked	vô cớ
unsalty	không có muối
unsympathetic	không thông cảm
untampered	chưa được kiểm tra
untill	hết
unusual	bất thường
up	lên
update	cập nhật
upgrade	nâng cấp
upgraded	nâng cấp
upgrage	nâng cấp
upon	trên
upper	phía trên
uppet	đoạn mã
upsell	bán lại
upselling	lên bán
upsells	bán thêm
upside	ngược lại
upside	lộn ngược
upthere	trên đó
urbanhouse	nhà thành thị
urhome	nhà của em
us	chúng ta
usa	hoa kỳ
usd	đô la mỹ
use	sử dụng
utter	thốt ra
uyen	uyên
vac	bỏ trống
vacances	kỳ nghỉ
vacation	kỳ nghỉ
vacationtrip	chuyến đi nghỉ
vaction	kỳ nghỉ
valentine	lễ tình nhân
vali	dũng cảm
valley	thung lũng
valuable	quý giá
value	giá trị
valued	có giá trị
vani	biến mất
vanity	tự phụ
vannot	không thể
varied	đa dạng
various	đa dạng
ve	đã
veey	rất
vegan	thuần chay
vein	tĩnh mạch
veitnam	việt nam
venue	hội họp
veraemente	hiên ngang
verging	bờ vực
veri	xác minh
verry	tươi vui
vertigo	chóng mặt
very	rất
verygood	rất tốt
verygoof	rất xa vời
verymuch	rất nhiều
vespers	kinh chiều
vet	bác sĩ thú y
vets	bác sĩ thú y
via	thông qua
viatnam	việt nam
viatnamese	tiếng việt
vibe	rung cảm
vibes	rung cảm
vicent	nạn nhân
victory	chiến thắng
vie	tranh giành
vieew	lượt xem
vientam	việt nam
vientiane	viêng chăn
viet	việt
vietinbank	ngân hàng vietinbank
vietnam	việt nam
vietnameese	tiếng việt
vietnames	tiếng việt
vietnamese	tiếng việt
vietnamiese	tiếng việt
vietnamise	tiếng việt
vietnamy	việt nam
vietnan	việt nam
vietnm	việt nam
view	lượt xem
viewfriendly	nhìn thân thiện
views	lượt xem
viking	tên ông vua
vile	hèn hạ
villa	biệt thự
village	làng
villages	làng
villarge	làng
villas	biệt thự
villass	con chó
villla	biệt thự
villlas	biệt thự
vin	sơ vin
vinearl	cây nho
vinosis	vi chứng
vintage	cổ điển
violet	màu tím
violin	đàn vi ô lông
vip	cao cấp
virus	vi-rút
visa	hộ chiếu
vision	tầm nhìn
visit	chuyến thăm
visited	đã đến thăm
visiter	người đến thăm
visiting	thăm viếng
vitenamise	tiếng việt
vitnam	việt nam
vivid	sống động
voan	khăn voan
vodka	rượu vodka
void	vô hiệu
voidable	vô hiệu
volume	âm lượng
vote	bỏ phiếu
voted	bình chọn
voted	đã bình chọn
votere	bình chọn
voting	biểu quyết
voucher	phiếu thưởng
voucher	chứng từ
voyage	hành trình
vuong	vương
wad	một xấp
wait	chờ đợi
waiter	phục vụ nam
waitress	nữ phục vụ
walk	đi bộ
walker	người đi bộ
walkie	máy đi bộ
walkin	bước vào
walking	đi dạo
wall	tường
wallop	bức tường
wanna	muốn
wanted	muốn
ware	đồ
warm	ấm áp
warmly	nồng nhiệt
warmth	sự ấm áp
warmth	ấm áp
warning	cảnh báo
was	đã
washing	rửa
washlet	nhà vệ sinh
wasnt	không
watch	đồng hồ đeo tay
water	nước
waterbungalows	cây nước
waterline	dòng nước
waterpark	công viên nước
waters	nhiều nước
watress	nữ phục vụ
wave	làn sóng
waves	sóng
way	đường
wayfinding	tìm đường
ways	cách
wc	nhà vệ sinh
we	chúng tôi
wear	mặc
weasal	chồn
weater	thời tiết
website	trang mạng
wed	thứ tư
wedding	lễ cưới
weed	cỏ dại
weeding	làm cỏ
weekeind	cuối tuần
weeken	ngày cuối tuần
weekend	ngày cuối tuần
welcome	chào mừng
welcomed	hoan nghênh
welcomerink	chào mừng
welcoming	chào mừng
welcoming	chào đón
well	tốt
wellcome	chào mừng
welldone	làm tốt
